min_rpm,max_rpm,rpe,minutes,seconds
80,90,3.5,4,0
70,80,5.5,4,0
85,100,5,3,0
85,100,5.5,1,0
50,70,6.5,2,0
40,50,8,3,0
40,50,5,1,0
50,60,6,1,0
60,70,7,1,0
80,90,8,1,0
90,100,9,1,0
50,60,6,1,0
60,70,7,1,0
80,90,8,1,0
90,100,9,1,0
100,125,8,2,0
80,90,3.5,2,0
