min_rpm,max_rpm,rpe,minutes,seconds
80,100,3,1,0
80,100,4,1,0
80,100,5,1,0
80,100,6,1,0
80,100,7,1,0
80,100,8,1,0
100,120,9,0,20
70,80,3,0,40
100,120,9,0,20
70,80,3,0,40
100,120,9,0,20
70,80,3,0,40
100,120,9,0,20
70,80,3,0,40
90,100,8,5,0
70,80,3,1,0
90,100,8,5,0
70,80,3,1,0
90,100,8,5,0
70,80,3,1,0
90,100,8,5,0
70,80,3,1,0
90,100,8,5,0
80,100,7,1,0
80,100,6,1,0
80,100,5,1,0
80,100,4,1,0
80,100,3,3,0
